Date,Rating,Title,Reviews
Dec 2019,50,Peaceful,"Wifey and I booked an award ticket LAX-EWR on the 12:05am departure in Business Class.    1. This route has the lie-flat seats in business class and adds so much to the value on an overnight transcon flight. Out 757-200 had the ex-Continental seats that while a bit worn, are extremely comfortable.  2. Flight attendants were OK. Nothing spectacular, but not rude by any means. Keep in mind that most people were passed out anyway.  3. OTP - we departed LAX 24"" late due to late arriving aircraft, but still arrived in EWR 3"" early.  4. Only a small snack is offered. Our choices were either a Calzone with grapes or a salad. We both had the calzone and they've were tasty. Flights at other times of the day have larger meals, but since 2/3 of the cabin turned the snack down in exchange for more rest, this was sufficent.  5. IFE - Fair to Good. Various movies, TV shows, etc. Most people bring their own entertainment on an iPad or laptop anyway.  6. Wifi - This 757-200 uses the Gogo wifi. While not blazing, it worked well for simple email, iMessage, and even webpages.  7. Legroom - not an issue since there were lie-flat seats. Tip: Rows 1 and 5 have larger and deeper footwells that enable a taller person to lie in the flat position easier.  8. Price - while this was an award trip for us, the cash price when we booked was about $1,000 per person.    Conclusion: You get what you pay for. I took a walk to the back galley mid-flight and everyone in coach looked miserable, and this was quite enjoyable. Personally, it's the right way to go if you have the disposable cash, but not worth getting into debt over. YMMV"
Dec 2019,40,We like Uniteds International service,"We prefer taking non stop flights whenever we fly to Europe We live in Central Pa and drive to Newark because parking at Newark Long Term parking is a breeze and we can get nonstops. The only problem I have with Uniteds international service is that they are now playing the assigned seat and baggage charges game that make comparing tougher. We usually start looking to book 3 to 4 months ahead of time and watch airfares since they change regularly. Once we book the flight we then watch the Premium Economy fees since they also change up and down. We do feel the additional cost of Premium Economy is worth it. We just booked late April to Malpensa and upgraded to premium economy both ways. We have flown United from Newark to Brussels, Munich, Geneva, Zurich and Milan many times and the flights have been good on 767-400ER's that have 2-3-2 cabin seating"
Dec 2019,20,First Class??,I just started booking my tickets first class if I take any flight over 2 hours long. I’m not that guy who needs first class but the bigger seats and being in the front help me deal with my claustrophobia. I have flown Delta and United and have to say Delta wins hands down.    I recently flew to Punta Cana as it is one of our favorite spots. We took United due to the fare and the flying schedule. I think I’ll pay a little extra for Delta. The flight down wasn’t not that bad but the beverage service was horrible. I wasn’t expecting a private bar but I couldn’t get more than a 1/2 glass of OJ. I wasn’t trying to get loaded at 6 am but I was wide awake and eXpected more. The plane was old but it was still comfortable.    The flight back was more of the same but there was no entertainment....not even a drop down screen. Had I known I would have downloaded movies on my iPad like I used to do. I don’t mind using my own devices big I was paying for better service and better atmosphere.
Dec 2019,50,No complaints on this flight,"Smooth flight. There was no delays or issues with my luggage. The flight attendant service was good and although my seats were not assigned until I was at the gate, i was given seat with great leg room so i was satisfied."
Dec 2019,10,new low for United: bring your own water,"during service, requested the flight attendant if she could fill my 24oz bottle of water as I need more than the standard cup (6oz) because of health reasons, which she denied citing that the policy is each passengers gets 2 cups per service and no more. WATER. Thankfully, my seat neighbors, hearing the situation, stepped up and requested their water and shared it with me.    The flight attendant refused to share her name. Issued a complain to customer service, and got the advice that next time to call ahead of time to share health issues upfront, confirming that it is indeed a policy.    Never had an issue with other airlines, even if its the policy, what type of person can you by to deny WATER?"
Dec 2019,50,Trip was awesome,"The flight was 17 hours, but really did not feel that long. The premium economy was definitely worth the price (we paid about $200 extra each way). The additional leg room and the fact that only 2 people sat in a row with three seats was very helpful. Economy was totally full and the legroom was about 6 inches less. We flew home into San Fran and it took 13 hours and felt much longer than the 17 hour flight."
Dec 2019,40,Economy Plus - well worth it,"We had the Economy Plus 4 middle seats right behind the bulkhead. There was sufficient space to walk between the seats and the bulkhead with out disturbing the others. The enhanced service, while not great, was appreciated. The enhanced snacks had a good variety.The meal was meh! skimpy, starchy, tasteless. The ice cream dessert was appreciated. This was not one of the newly remodeled planes for international travel that United is touting in its ads, but the seats were OK - not ht etorture chanbers we have had on previous United international flights."
Dec 2019,40,The flight was early,"I was pleased to note they did not skimp on snacks. We did pay for our bags and did not have a large carry-on. The flight was pleasant and fast, both ways. I was impressed."
Dec 2019,50,Work I Dallas,I have been flying with United for business now for 5 years. I flew international to China then home every 30 days. I have found a United to be tops on customer service. They have always treated me well. The flight to Dallas was their usual great service. Loaded on time left on time plane was clean and comfortable. I will continue to use United for my flights.
Dec 2019,50,Good flight,Flight was on time and as comfortable me as economy can be. Staff were very friendly. I have flown United several times and am always satisfied
Dec 2019,30,Need to Modernize and Increase Leg Room,"I fly this route often, and took United this time (and not again) due to scheduling matters. For a much higher price than coach, I got very little additional leg room (maybe an inch or two), a dated entertainment system that kept having to be rebooted, and mediocre service. Sorry United, Delta (and even American) have better service on this route."
Dec 2019,40,Better Flight Back !!,Flight was pushed by Jet Stream and we landed about 30 minutes EARLY. Captian said He expected a rough time due to weather. We didnot have a dip or drop the whole way. Very quiet flight.
Dec 2019,40,"Direct, non-stop is the only way to go.","Flight was a cakewalk. We arrived just ahead of 11"" of snow! We had about 15 children on board. They were great, no noise no crying no running. Crew was very good. Takeoff and landing was one of the best I have ever had. We will take the same flight again on our next trip to the Rockies."
Dec 2019,10,Terrible Airline,"I have flown with United four times within the past year and every time has been a nightmare. Every single flight has either been delayed prior to boarding, delayed due to technical difficulties after boarding, or changed in some way. No flight that I have flown with them within the past year has been easy or as planned. I will  never fly with United again."
Dec 2019,50,vegas visit,"original flight changed from Denver CO to Newark NJ due to weather, a little turbulence; otherwise, flight was okay"
Dec 2019,50,flight to Chicago for Thanksgiving,Excellent crew and captain. smooth flight with snacks and beverages. Very friendly and courteous. We ran into weather conditions but were immediately spoken to about the conditions and told how and when we could expect conditions to lift. We had a packed plane and the attendants very efficiently assisted with luggage and carry-on bags to ensure all were with their owners. Flight was on time with its departure and we landed on schedule. Very smooth transition out of the airport into an uber to our hotel.
Dec 2019,20,Amazing! We got there!,"If an airline could care less about their passengers, United Airlines comes in first. From the baggage check-in to the arrival in Denver, the trip was filled with rudeness. I have over 2 million miles of business and leisure travel on over 20 different airlines and seldom have I experienced such indifference towards the passengers by the gate agents and the flight attendants. When I book flights now, I exclude United Airlines."
Dec 2019,40,Round Trip for Knoxville to Houston,Overall good flight. Left an hour late from Knoxville due to crew arriving late the night before due to bad weather. Flight home was on-time and quick. Service was friendly and helpful.
Dec 2019,30,Economy class,Flight was 90 percent full.  I had ordered Asian vegetarian meal. I got mildly flavored chickpeas with 1/2 whole wheat tortilla And wheat farina upma. Food was fair. I have had better aircraft food with Qatar air and Lufthansa. Six hours later a snack consisting of date nut bar and a whole bread roll veggie sandwich. Meh!  There were not many snack options if you were hungry to walk back and get something. Staff interaction was okay. Not personable.  They had a handicap accessible bathroom. Wish it was labeled like that.  Overall Fair flight.
Dec 2019,30,"No overhead bin space if you're late, is a myth!","We arrived late at our gate. Group 4 was boarding when we got there and we were in group 2.  The gate agent said no more overhead bin space and forced us to check our carry on.  Because we were late , so we complied. I thought to myself;"" that it is a big air craft, why no overhead bin space for all!!??"". When we got to our seat, the overhead bins above our seats were empty!! You can understand my frustration, because snacks and what not to make us comfy was in our carry on. Point is, gate agents should check with cabin crew before putting passengers at unnecessary inconvenience! So, my advice is, do not listen to gate agents especially when you are in premium economy or higher, doesn't matter if you arrive late. The overhead bin by your seat is yours, and should be reserved for you! When is a long flight bring your luggage with you inside , never check it. You will be very uncomfortable when you need things like a blanket, scarf, puzzle book etc. on a long flight.Cabin crew and flight attendance need to do their job to make the passengers comfortable and not cutting corners on their responsibility. I understand group 5 should not bring carry on, but the rest is allowed, so make sure everyone that pay for that should be able to bring their stuff on board."
Dec 2019,10,Chicken Bus of the Sky,"Worst airlines in the world. I should have learned my lesson years ago to pay a little more than ride with these fools. They lie about maintenance issues while they keep you on the plane for hours. Their excuses on the plane do not match the emails sent as you wait. They run out of water by row 38. They ruin your luggage. They strand you without compensation. This old dog has finally learned her lesson - NEVER, EVER, fly United!"
Dec 2019,10,Too many issues,"I'm about to go on a small rant so please, bare with me.  On December 5 2019, I got to the airport at 10:30am for my 12:40pm flight with United Airlines flight #UA6078 from Toronto to San Antonio with a Houston layover. Checked in, boarded the plane, sat down, buckled up the whole nine yards. The aircraft pushed back from the gate at 12:38pm, taxied to get de-iced, I thought it was a little weird as it wasn’t as cold. After about 20mins and a colourful wash, I realized we were just going in circles. At 1:20pm I saw us heading back to the gate, I've now been on this aircraft around 40 mins doing circles on the tarmac, no announcements made as to why we were still on the ground. When we finally parked at the gate, the captain came on saying the second engine would not start and they have called for maintenance and we should 'bare with them a minute' I've already bared 50 mins but who's counting. Around 1:50pm or so we are told maintenance has arrived and has determined that they are unable to fix the issue and so we will have to disembark. The flight attendants didn’t seem very concerned at all, after all, they were already where they needed to be.    At 2:20pm while still on the aircraft, I got on the phone with United customer service, spoke with a nice girl, she was polite and apologetic, after 30 minutes, she came back with 1 option and that was an Air Canada flight for 8:15pm to Houston, she said I would have to wait until Friday to get to San Antonio as the last flight out of Houston to there was at 8PM. This was unacceptable as I had to be at my cousins’ graduation at 9AM. At this point I was so frustrated, tired and hungry. I told her to book it, only because I had spoken to my cousins and they were willing to drive over 3 hours to Houston to pick me up. She offered no compensation at all, I thanked her for her help and hung up.    I stood in line waiting for the agents that were sent to assist us while on the phone with her, just to see if there were any better options, one where I wouldn’t have to inconvenience my family. It took almost 3 hours to get to the front of the line, I have now been at YYZ for over 6 hours. Once I got to the agent, instead of being greeted with consideration and understanding, I was greeted with attitude, as if the cause of the cancellation was my mine. The agent seemed as if we were all bothering her, she wasn't pleasant at all. Though I was already booked on Air Canada, through my own doing, I checked and saw that American Airlines had 2 flights out at 6:29pm, I asked if I could get on either flight as they both were going to Dallas then on to San Antonio, her reply was 'we don't have affiliations with American"". She was not helpful at all, she never gave any suggestions, or recommendations. Throughout our entire interaction she kept sighing, and basically rolling her eyes. She advised my only options were to do the whole flight tomorrow (December 6) or stay over in Houston. I advised her neither of those were good options. I really did not want to deal with her anymore and so I told her I would keep the Air Canada flight.    While I am extremely grateful the engine did not fail while in the air and that the captain chose to stay on ground instead of risking our lives, there are ways to make a bad situation better and good customer service along with communication would have been one of those ways.  Absolutely no compensation was offered, i spent over 10 hours at the airport, only to wait for a flight that was not even going to my destination, I felt awful having to put my family out their way – who by the way were awake since 4am for their flights.    As if all that was not bad enough, on the way back home on December 9th the flight out of San Antonio UA1930 - was delayed, about 15 – 20 minutes, my layover in Houston was only 51 mins, my initial thought was here we go again! Luckily, I got to Houston while the flight to Toronto – UA2420 was boarding, it pushed back a little late, and it also sat out on the tarmac/runway for about an hour due to ‘maintenance’. The good thing is they were able to fix whatever issue this was.    I've been traveling since I was 7 years old, this was my very first time flying with United and I will never travel with them again! I’m aware things can happen, aircrafts are machines and can have problems, but having issues on both my outgoing and return flights was too much for me, in addition, the lack of care and respect for time was appalling. People however, are not machines and having someone who showed a bit of understanding and care for the passengers would have made all the difference. I was not able to get any names, the agent in Toronto was not wearing a name tag and frankly I didn’t care to ask what her name was. I don’t believe she is employed directly by United, possibly by the 3rd party handler Global. I highly suggest you do regular training with your employees and people who represent your brand. If customer service is important to your brand it was a total miss on this occasion."
Dec 2019,40,wedding flightto PA,"The flight was slightly late departing due to air traffic incoming to Chicago, however, the crew made up some time during our flight to Harrisburg. The flight attendants were efficient and professional. The aircraft was spotlessly clean and organised. My only negative comment for this trip was the cost to fly."
Dec 2019,50,Graet company,Great flight from point to point with no delays and great service. Any chance I get I would fly United at this time.
Dec 2019,40,Delays into Newark,"Great flight , except for delays due to weather in Newark. Great flight otherwise . Will fly on United again."
Dec 2019,10,Horrible Experience,"I was a part of a group flight through my University traveling from Madrid to Newark after spending 4 months studying abroad in Madrid. Apparently, for United Airlines, it is up to the employee's discretion whether or not they want to charge you for an overweight suitcase. While I was charged 200$ for a suitcase that was 2 kilos overweight, there were other students that had suitcases that were overweight by 5+ kilos and they were not charged. This is a disgrace and discrimination. When I contacted customer service the woman brushed me off and said there was nothing she could do for me. I will never fly this airline again."
Dec 2019,50,Mexico Trip,"Very nice, very comfortable service was good flight safely arrived on time. the United Airline team was very nice through the whole process."
Dec 2019,50,Excellent Round Trip from Dulles to Cancun,"An Excellent Round Trip from Dulles to Cancun. The flights were on time and the services were good. This was a great improvement since I flew with United Airline, a few round trips to Cancun, a few years back. The previous trips always 2-3 hours delay at Cancun airport on top of 3 hours that we had to arrive early at the airport. This time we were not disappointed, keep up the good work United Airline"
Dec 2019,50,Flight to Aruba,Flight was smooth and on time. They quickly loaded the plane and stewardess were very friendly. We enjoyed actually talking with the young couple sitting near us.
Dec 2019,40,Good flight but mistakes in scheduling,There were long delays on nearly every flight but the actual flying time was pleasant. Nothing was bad enough to cause not using United again.
Dec 2019,30,Refreshing Needed,"This flight was on an older 737. It departed on schedule and arrived on schedule. The flight was packed and people were shoving items in overhead compartments that weren’t even close to where they were sitting. The business class seats barely recline and the choices of entertainment videos seemed to be catered to a teenage girl. The staff was courteous and the food was “airline food”. If I go back to Trinidad, I may try a different route next time to avoid this flight."
Dec 2019,50,Extremely Pleasant,"Departed Dulles on time headed to Tel Aviv and had an extremely pleasant experience from start to finish.My seat was the last one in business,tucked in the corner,cozy and private.As I was settling in a flight attendant approached and inquired as to my beverage choice? I asked for a mimosa and it was perfectly prepared,prompting me to go another!I watched one good movie and enjoyed a delicious dinner before having my bed made including a mattress pad and a real pillow,wow. I actually slept well and awoke to chilled tomato juice and yes I had another in addition to wonderful fresh coffee and a decent breakfast.  This was honestly one of the most enjoyable overnight international flights in memory."
Dec 2019,40,Pleasant way to fly Direct to Dallas/Fort Worth,"This direct flight was perfect for us, but really quite the economy experience, given we had to buy our own sandwiches to bring aboard, or buy a crummy microwaved cheeseburger made yesterday or cookies or pretzels aboard. Of course we opted for ToGo's carryout. There was no movie unless you thought ahead to download the United App so you could watch movies on your postage-sized iPhone screen, ha ha. Other than that, it wasn't very expensive because we purchased the tickets WAY ahead."
Dec 2019,50,United USA,"Flew United Airlines to New York. Fabulous company to fly with. The staff were great. My daughter requires a gluten free menu which was provided with no fuss or bother. The flight staff were so attentive, caring professional etc. Would definitely chose them again and would definitely recommend them to anyone who was thinking of flying United Airlines."
Dec 2019,40,Very busy flight before Rosh Hashana,Great company with pleasant staff.  Try not to catch a flight to Israel before Rosh Hashana or Yom Kipur.  The plane was full and there wasn't enough space for languages in the cabin. That made a delay.
Dec 2019,20,"No Follow-up, no responsibility,","I started a trip from Montana to L.A. and had multiple setbacks along the way. Our departure was delayed partly due to a sick passenger and also from a fear of the fog. Regardless many of us missed our connecting flights in Denver, including myself and while on board United assured us that they were doing EVERYTHING possible to assure a quick resolution to any disruptions. I ran to my gate and missed my flight by minutes. At that point a United employee told myself and several others from our flight that we were booked on the next flight to L.A., grab some lunch, hang out and you'll be on your way. So I went to the gate where the next flight was going out of, couldn't find anyone and assumed that they had indeed booked us on the next flight, got some lunch made some calls and waited. I went back to the gate at least 45 minutes prior to departure only to find out that they had no record of me on that flight. I was put on standby, but of course the flight was overbooked, so I waited another 2+ hours for the next flight! I went to talk and complain about this obvious lack of follow-up, only to be shuffled through three different United employees which in the end the supervisor said she would give me a $75 voucher for another flight in the future. That seemed pretty pathetic for moving my arrival back 6 hours later and causing me to be significantly late for my conference. The voucher was to be sent to my email. NOTHING now nearly a week later. They said they moved my flight to the next one, WRONG, said I would be given a voucher, WRONG!! And the all the while not one single employee had any empathy or took any responsibility for derailing travel plans. I WOULD NEVER RECOMMEND UNITED AGAIN!!"
Dec 2019,20,‘Colder’ skies with UA,"I regularly fly between Europe and the US. Comparing my flight experience over the last year between United and Delta, there still is a marked difference between both airlines, not so much in terms of plane entertainment, available space, cleanliness, ease of checking in, etc. What makes a marked difference is the outspoken friendliness of Delta (and KLM) flight attendants, who do a great job of making you feel welcome. United keeps on feeling ‘colder’ in 2019, notwithstanding all efforts of the company. Hopefully better next year United."
Dec 2019,50,Great flight to enjoy a week in FL,"Our flight was on time; checkin bag, efficient & courteous; aircraft, clean, comfortable; service crew, very pleasant, professional, & efficient; take off & landing, easy & safely done; arrival, 10 minutes, early on both legs of journey. Perfect! :)"
Dec 2019,30,Their policy that their domestic flights don't serve meals.,"From San Francisco to Honolulu (about 8 hours flight) No meals because of their policy no meals on domestic flight. From Honolulu to Agana Guam, (about 5 hours) still no meals because still domestic flight. It was only from Agana to Manila (4 hours) where they served meals because it is international flight. Worse, is that in Honolulu and Guam, there was no decent restaurant at their airports. It was a horrible flight for my wife and me. I am a diabetic so you must know what I am talking about."
Dec 2019,40,Maintenance and Flight Crew First,"The most vital element of flight is the Aircrew. This is followed by the maintenance. Consumers are rarely so informed, or asked. United Airlines were selected by the U. S. Air Force to train their flight crews. But the United Airlines flight crews are largely veterans of the American MILITARY FLY ING SERVICES. It's wondeerful to look at beautiful, yo ung, Cabin Attendants durintg a flight, but let a mountain appear, and all the beauty is meaningless."
Dec 2019,50,Only problem was with the gate,"I seldom have a complaint about United. My complaint is with some of the gate people. On a recent flight, I accidentally dropped my credit card on the plane. It was found and turned in (thankful for honest people) but, unfortunately, I had already made my way all the way from C5 to B17 in another terminal before I was paged. There was no way I had time to return to the previous gate and still make my flight. I asked if it might be possible for someone to bring it to my gate on a cart. No. They said they were sure it would be mailed (FedEx even) to my home. Not only did that never happen, but to this day, I still have not received my credit card back. After reporting it 'lost' online and exchanging several emails that were 'lip service' only, I gave up and cancelled the card. No one seemed to care, and put forth no effort whatsoever to mail the card back to me. They just continued to say: We have not found your missing item, and will continue looking for 30-days, and then your request will be closed."" It was not lost. I told them exactly where the card was, yet no one would make the effort to do anything about it. Whatever happened to customer service with a smile? Frustrating."
Dec 2019,10,Atrociaous Cust Svc in Chicago,"AWFUL!!! Not only have all of our flights out of Syracuse been delayed due to mechanical difficulties, the customer service people in connecting airports are atrocious. We tell them, ""we know it's not personal, but your represent the airline"", these inexperienced ""managers"" are terrible. Chicago, O'Hare United: AWFUL!!!"
Dec 2019,40,Flight 363 12/9/19 to Hawaii,Flying to & from Honotutu from / to Newark is always a long flight and United has it down pretty good. Sometimes the crew could be a bit more attentive especially as there usually always first time visitors to the islands. Overall a good job.
Dec 2019,30,Trip from KC to Denver during Thanksgiving week.,"Quick trip of around 90 minutes. Left on time and arrived as needed. Wheel chair was waiting for us when we cleared the plane.    Return trip on December 1 was delayed by several hours....supposedly due to poor weather in California....where the plan originated from. Consequently, we arrived in KC 90+ minutes late. Sitting in the airport waiting for the flight was boring as hell but United brought out some bottles of water and some of their typical snack items....so they were trying!"
Dec 2019,40,Good trip,"Good flight. Easy boarding, good service. Flight a little bumpy due to weather but on time departure and arrival"
Dec 2019,30,Very Pleasant Flight,"Flying UA for years and a 1K Premium member. Only issue I have is when will they fix their wi-fi service once and for all. It is not consistent in the planes, sometimes stops in the middle of a movie, sometimes you can't hear any sound and not all flights have the chargers blow the seats. I always have to ask for a reimbursement for the lack of service."
Dec 2019,40,"Trip to Goa, India","This was a first time international trip for spouse while flying overseas, so initially booked premium economy on all legs. (IAH to EWR, EWR to BOM, return, BOM to YYZ, YYZ to IAH). after booking upgraded to first on 1st leg (IAH to EWR) and YYZ to IAH. During the few months prior to trip, I kept an eye on weekly bases on the Polaris upgrade from EWR to BOM which by the way is a 16 hour plus flight. upgrade fluctuated between 2k plus to 7K plus each. a few weeks out before day of departure, the seat upgrades were available for $699 each. ( I immediately upgraded both our seats for the IAH to BOM leg) and surprised spouse on embarkation.. It was a great flight and she really enjoyed the POLARIS experience. overall flight experience on united was excellent on this trip."
Dec 2019,50,Going to Denver!,"I love to tralvel and a trip to Denver seemed just the place to see crisp mountains and feel the fresh air! As always, our flight went without a hitch-from checking in at OKC to walking into the Denver airport. United Airlines treats us the way we expect to be treated for there are a number of choices even flying economy!"
Dec 2019,20,Shivering With Cold (With Jacket On) - Suffering Surly Service - Awful Food,"DELIBERATE PREMEDITATED DISCOMFORT: I have flown United internationally for over three decades. There is slight improvement. At least on Asian routes the staff are no longer gratuitously rude. But the level of indifference towards passengers is manifested in not responding to call buttons (actually turning them off), and in the freezing temperature (which the attendants do not notice because they are moving around) and which they refuse to increase. The cushioning on the seats has been reduced below minimum so that the metal bar under my thighs hurt (remember this was a 15 hour flight).    A DOWNWARD SPIRAL OF LOW FARES AND CUTTING THINGS TO THE BONE (literally): There is ferocious competition, granted -- with airlines in a downward spiral of cutting costs and services. My flight from Newark to Singapore (round trip) was dirt cheap -- cheaper than some NJ - California fares.    IS THERE AN ALTERNATIVE WAY TO COMPETE? But imagine how United could charge a bit more for tickets if they spent 50 cents more per meal (currently worse than awful), or insisted their staff respond to call buttons, or upped the thermostat to make passengers more comfortable, or added one-half inch to the padding over the seats. Simple stuff -- not all of which takes a lot of money.    But it does take imagination and some degree of care, which is lacking.    Imagine also what would happen if United's management insisted that their executives had to fly economy. Currently they fly First or Business and so have little empathy or knowledge about the cattle class conditions."
Dec 2019,50,New seats provide more legroom. Yay!,"Tampa is my favorite airport with a great design for passenger movement. TSA inspection was swift. Seating is comfortable at gates. No issues with seating or space for carry-on bag, especially with benefits as a United Credit Card holder.  Flight was smooth and on-time.  The new seats seem thinner and maybe have a different angle. They were comfortable and provided a noticeable increase in legroom which I liked."
Dec 2019,50,san fransisco to Vancouver flight,"The flight was of short duration and was comfortable. However, no advance information was given about transit Visa requirement for Canada in advance which resulted in anxius movement as the ETA had to obtained before boarding pass could be obtained at the nick of time, which is a difficult proposition for a visiting person"
Dec 2019,30,First class may have been worth the cost almost,In the fall and winter lots of problems can happen with flights so I try to book direct flights. I look for larger planes as I think most do. Picking not the most desireable time for the flights brought first a lot closer to coach. I did not pay double coach and got a nice unit to sit in on the long flight. Great service and good food. Everything happened on time. Actually it was what we all expect from every flight. Kudo's to the Captain who came out into first told us about the crew and what to expect for the flight. He added a personal touch by writing me a note on the back of his business card. Little touch not necessary but did make me feel appreciated for spending the money.
Dec 2019,10,"Fly only direct with United Airlines, huge frustration if expecting to make a connecting flight","Flying Nov 30 and flight delayed and delayed. Stewardesses and first officer waiting with passengers but no captain to pilot the flight to San Francisco. Had to wait for a pilot to be flown FROM San Francisco to fly our plane TO San Francisco. Assurance was given that we could still make connecting flight to Vancouver and yes we could have if there was enough ground drew to direct our plane the short distance from the runway into our disembarking slip F7. Our connecting flight was in slip F6 and was waiting for us in slip F6. As we were sitting by the window on the left hand side of the plane we could view the connecting plane right next to us, waiting. Well after about 15 minutes the connecting flight pulled the luggage belt and flew off without us. We sat on the tarmack for nearly 1/2 hour watching everything.  Customer Service folks were able to get us on the next flight out but that was delayed and delayed and delayed. On top of that we again sat on the tarmac as the plane was unable to leave due to a windshield wiper not working. We waited for the part to arrive and then were told a new part was not needed, something was wrong with the tension of the wiper.  We left our place in Phoenix at 9 am and arrived home in Canada at 2.30 am. The check-in/boarding staff and flight crew were very obliging and tried their best, My quibble is not with them at all but the organizing /system of United Airlines. We felt they were very understaffed. While waiting in the airports we noted many flight crew waiting around in the food court and in the sitting lounges ....waiting and waiting too.  This has been our 3rd experience of flying with United and then trying to make a connecting flight. Not once have me made the connection.Sorry United but that is no longer acceptable."
Dec 2019,40,Value for money flight,"Flew to Kona, Big Island from SFO in United. Was great flight for the money. Both the flight were on time and had no delays. Service and entertainment options was okay."
Dec 2019,50,United Round trip ATL-SFO,"Even though our first flight was cancelled due to weather, the CS team did a great job getting us to our destination.    You are taking a gamble if you choose basic economy, they tell you the cons of basic when purchasing the ticket. We pretty much lost on the way bc we could not make any changes even to the canceled flight. They rescheduled us and we had no say or option for another flight. We ended up missing a sight seeing tour bc the flight scheduled for us arrived after the tour (not UA fault). We did end up winning on the way back bc the plane had too much weight in the back so they moved us to the premium economy seats that had more leg room.    The flight itself was cool. I slept the whole time both ways so I can’t give any detail to the on board experience.    I will definitely fly UA again."
Dec 2019,40,Winter Travel,"It was the first time in 31 years that I traveled home to Germany around Christmas. The flight had reduced service due to some complications so the staff was two people short. Add to it an almost two hour delay before take off due to weather and it could’ve been the start to a toxic trip. However, people were civilized, staff gave their best, and all went well. A strike at the Frankfurt airport also forced the airline to load all the food for the return flight back to the states so due to load we had to give up some food items. I was impressed how mellow everyone reacted, making it a pleasant experience. Well done. I do miss the more comfy pillows from past days and wonder about ways to reduce waste."
Dec 2019,40,You get what you pay for,"We flew the Monday before Thanksgiving and returned the day after. We took a 6AM flight, and avoided the crowds. We breezed through security and had a very good experience both ways. The entertainment going was on my iPad, using the United app. The Fort Myers Airport was easy to navigate, and Enterprise car rental was the best I have ever experienced."
Dec 2019,50,The friendly skies,Great overall service and a easy and quick flight to Puerto Vallarta! The plane was clean and friendly.
Dec 2019,40,All was good..,All was good from baggage check-in..counter...security..gate all was good. United Club still excellent..
Dec 2019,10,Organization Nightmare,"After a 24 hour delay for a flight to Frankfurt do to technical difficulties with the landing gear of the plane we were told that United would provide hotels and meal vouchers. After taking the shuttle bus from the airport to Crown Plaza Hotel, in Newark about 15 min away from Newark International Airport, the hotel concierges were put in a terrible situation. We were told by United we had rooms, however they never confirmed with the hotel and the hotel was actually overbooked for the night. After they were on the phone with United for over an hour, the hotel was kind enough to overbook their hotel for us. Exhausted and tired, I was thankful for their kindness. Fast forward to next day, de ja vu, United switched the gates twice without changing the gate number on the monitors. People are at two different gates, and confused. After telling customer services people don't know where to go they said that they will announce it on the overhead- it is almost impossible to understand all of this information changing and if there are contradictory information in multiple places it makes people upset. I feel bad for the staff who works for United because they clearly do not have enough organizational support and structure from this company that is clearly falling apart at the seams. I don't normally write reviews and I don't like to be overtly negative, but if people pay good money for something that does not function properly they should know what they could be getting themselves into."
Dec 2019,30,Round trip IAD to Orlando,"mixed review here. Seatback entertainment not working on the flight to Orlando. Crew seemed indifferent but, it was a late evening flight . Seatback stated a power outlet was available but, I could not find it. I had my Fire and it was charged a ready to go offline so I did not bother the crew. Crew on the return flight was very nice, smiling, offering assistance, the seatback worked and there was a power outlet. (I don't think there was one on the first flight).  Typical for United, room in the aisle was very limited. I arrived at my destinations safely and on time without any doubt that it would happen."
Dec 2019,50,Excellent flights to Bristol via Chicago and Dublin,No delays/problems flying with United Airlines and Aer Lingus  Helpful ground staff and aircrew  Can recommend using the shuttle bus at Chicago to get from one terminal to another thereby avoiding to go  through security a second time
Dec 2019,10,Our flight was cancelled & nobody helped!,"The first UAL agent said that they would pay for an overnight if we couldn't get out that day, Then he disappeared & THE 2nd UAL agent said they wouldn't;t pay for an overnight because it was caused by weather--not UA;s fault. This was our 2nd United flight in 6 weeks that had trouble. I'm not going to book with them anymore---if I can help it.."
Dec 2019,10,First class but hour long line to checkin,My third United flight in 2 months. The pilots and stewards are great. Newark is a nightmare. I’ll NEVER use United again. Kiss my ass. Spent money for poor service
Dec 2019,40,A good rating even though I arrived a day later than planned. United was very supportive with meals vouchers plus hotel.,Mechanical problems on my first flight resulted in a day late at my destination. United Airlines was very accommodating with meals and hotel costs.
Dec 2019,30,"Was disappointed no food available to purchase, however our reservations said it was.","Was a 4 hour flight over lunch time but no meals were available to purchase. Having to leave our house at 6:00 am to get to airport, park and take shuttle to Terminal, get checked in etc. there was no time to eat at airport and food was suppose to be available to purchase but wasn't. Don't know how you are suppose to know it is not available when it is said it would be. Very long day without anything to eat except pretzels."
Dec 2019,40,Great flight crews - friendly and eager to please.,"There have been issues with United in the past - but since Oscar Munoz took over, what a turnaround! It seems that everyone is happier, and it shows in the service at the counter and on the plane. Kudos to United for the improvement!"
Dec 2019,10,Greedy airline,"They made us pay $60 for carry ons, when other passengers just walked in the plane with theirs. Airplane was not full. Many empty seats, but they wouldn't let us change seats. Not very customer friendly. Will try my best not to fly with them again. American Airlines is much better."
